ess_cluster;cluster_short;ess_common;ess_short;ess_order;unique_short;ess_unique
Bio-production;Bio-production;Bio-production;bio-production;4;rietproductie;Rietproductie (voor brandstof, dakbedekking, meubels, artisanaal..)
Bio-production;Bio-production;Bio-based materials;bio materials;3;voedsel prd;Algenproductie  (voor voedsel, biomassa)
Bio-production;Bio-production;Bio-based materials;bio materials;3;waterplanten;Waterplanten 
Bio-production;Bio-production;Agricultural production;agri produce;1;tijdelijke landbouw;Tijdelijke landbouwproductie (wanneer droog)
Wild food harvest;Wild food;Hunting;hunting;35;recreatie jacht;Jacht op watervogels 
Bio-production;Bio-production;Bio-based materials;bio materials;3;klei;Klei 
Bio-production;Bio-production;Bio-based materials;bio materials;3;slib als meststof;Slib als meststof
Water cycle related services;Water cycle;Regulation of water quality;water quality;33;waterzuivering;Waterzuivering
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;waterberging;Waterberging  (buffering)
Quality of living;QoL;Micro-Climate regulation;micro climate;22;effect op microklimaat;Effect op microklimaat (luchtbevochtiging  & temperatuurverlaging) (
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;biodiversiteit;Biodiversiteit gebonden aan vijvers
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;recreatie wandelen;Zachte recreatie (zwemmen, schaatsen, wandelen …)
Cultural, social & aesthetic values;Cultural-social;Education, knowledge & nature observation;education;16;educatie;Educatie (voor kinderen en volwassenen)
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;cultuurhistorisch landschap;Cultuurhistorisch landschap
Bio-production;Bio-production;Bio-based materials;bio materials;3;water, modder vr wellness;Water en modder voor “Wellness” (bvb. Kneip-kuren cfr. Genk ) 
Bio-production;Bio-production;Agricultural production;agri produce;1;voedsel prd;Productie van voedsel (bvb. groenten, fruit, voeder)
Wild food harvest;Wild food;Wild food picking and medicinal plants;plant gathering;36;voedsel prd;Voedsel van natuur (bvb. linde, noten)
Bio-production;Bio-production;Bio-production;bio-production;4;biomassa prd;Hout/biomassa productie
Wild food harvest;Wild food;Fishery;fishery;34;viskweek;Viskweek (vijver)
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;waterstroom regulatie;Waterstroom regulatie (bvb. grotere tuinen, groendaken, vijvers)
Quality of living;QoL;Regulation of air quality;air quality;20;luchtzuivering;Luchtzuivering
Quality of living;QoL;Micro-Climate regulation;micro climate;22;temperatuursregulatie;Temperatuursregulatie 
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;biodiversiteit;Biodiversiteit 
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;recreatie zacht;Ruimte voor zachte recreatie
Cultural, social & aesthetic values;Cultural-social;Space for social cohesion;social cohesion;18;sociale omgeving;Sociale omgeving (ontmoetingsplaats, speelplek)
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;rustgevende ruimte;Rustgevende ruimte
Quality of living;QoL;Mediation of noise and visual pollution;pollution;23;geluidsbuffer;Geluidsbuffer
Quality of living;QoL;Drinking water;drinking;21;drinkwater;Drinkwater (->Antwerpen)
Bio-production;Bio-production;Water extraction for agriculture;agri water;2;drinkwater;Drinkwater (->Antwerpen)
Bio-production;Bio-production;Water extraction for agriculture;agri water;2;irrigatiewater;Irrigatiewater
Bio-production;Bio-production;Renewable energy;green energy;6;hydro-energie;Hydro-energie
Bio-production;Bio-production;Renewable energy;green energy;6;windenergie;Windenergie
Wild food harvest;Wild food;Fishery;fishery;34;viskweek/vangst;Viskweek/vangst
Bio-production;Bio-production;Renewable energy;green energy;6;biomassa prd;Biomassa (van bvb bermen)
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;transportweg;Transportweg
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;biodiversiteit;Corridors voor biodiversiteit 
Cultural, social & aesthetic values;Cultural-social;Aesthetic value;aesthetics;14;landschapskwaliteit;Landschapskwaliteit (bvb bermen, KLE)
Recreation & Tourism;Rec & Tourism;Dynamic recreation;dynamic r&r;25;recreatie water;(Water)recreatie
Wild food harvest;Wild food;Fishery;fishery;34;recreatie hengel;Hengelsport
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;bepalend voor identiteit;bepalend voor identiteit
Wild food harvest;Wild food;Wild food picking and medicinal plants;plant gathering;36;bessen, planten, paddenstoel;bessen, wilde planten, paddestoelen voor consumptie
Cultural, social & aesthetic values;Cultural-social;Education, knowledge & nature observation;education;16;educatie;educatieve waarde
Cultural, social & aesthetic values;Cultural-social;Aesthetic value;aesthetics;14;estetische waarde;estetische waarde
Recreation & Tourism;Rec & Tourism;Motorised recreation;motorised r&r;26;recreatie gemotoriseerd;gemotoriseerde recreatie
Wild food harvest;Wild food;Wild food picking and medicinal plants;plant gathering;36;geneeskrachtige producten;geneeskrachtige producten
Bio-production;Bio-production;Renewable energy;green energy;6;bioenergie prd;gewassen voor bio-energie
Bio-production;Bio-production;Bio-production;bio-production;4;hout voor gebruik;hout voor gebruik
Climate service;Climate;Macro-Climate regulation;macro climate;13;klimaat regulatie;klimaat regulatie
Recreation & Tourism;Rec & Tourism;Space for play & rest;play;27;ontwikkeling kinderen;ontwikkelingsmogelijkheden voor kinderen
Habitat & Biodiversity;Biodiversity;Pest and disease control for agriculture;pest control;11;regulatie van ziektes;regulatie van plagen en ziektes ter preventie van landbouwproductie
Cultural, social & aesthetic values;Cultural-social;Space for social cohesion;social cohesion;18;sociale relatie bevorderen;sociale relatie bevorderend
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;spirituele werking;spirituele werking
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;therapeutische waarde;therapeutische waarde
Habitat & Biodiversity;Biodiversity;Iconic species;iconic species;10;regiogebonden soorten;typisch regiogebonden soorten
Wild food harvest;Wild food;Hunting;hunting;35;recreatie jacht;wild voor de jacht
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;intrinsieke waarde natuur;Intrinsieke waarde van natuur
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;biodiversiteit;Biodiversiteit in het Kluisbos
Habitat & Biodiversity;Biodiversity;Pest and disease control for agriculture;pest control;11;plaagbeheersing;Plaagbeheersing
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;water infiltratie;Waterinfiltratie en regulatie van waterstromen
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;water infiltratie;Waterinfiltratie en regulatie van waterstromen
Water cycle related services;Water cycle;Regulation of erosion risk;erosion;31;erosiepreventie;Preventie van erosie, bodemverschuivingen en modderstromen
Water cycle related services;Water cycle;Regulation of water quality;water quality;33;waterkwaliteit;Verbetering waterkwaliteit
Quality of living;QoL;Drinking water;drinking;21;waterproductie;Waterproductie
Quality of living;QoL;Regulation of air quality;air quality;20;luchtkwaliteit;Verbetering van luchtkwaliteit
Quality of living;QoL;Micro-Climate regulation;micro climate;22;klimaat micro;Regulatie microklimaat
Climate service;Climate;Macro-Climate regulation;macro climate;13;klimaat globaal;Regulatie globaal klimaat
Cultural, social & aesthetic values;Cultural-social;Aesthetic value;aesthetics;14;esthetiek;Esthetische waarde van het bos
Quality of living;QoL;Mediation of noise and visual pollution;pollution;23;visuele afscherming;Visuele afscherming
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;cultureel erfgoed;Kunst en cultureel erfgoed
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;streekidentiteit;Streekidentiteit
Recreation & Tourism;Rec & Tourism;Space for play & rest;play;27;recreatie picknick;Picknicken/eten en drinken
Recreation & Tourism;Rec & Tourism;Dynamic recreation;dynamic r&r;25;recreatie gemotoriseerd;Gemotoriseerde recreatie
Cultural, social & aesthetic values;Cultural-social;Education, knowledge & nature observation;education;16;educatie;Educatieve activiteiten
Wild food harvest;Wild food;Wild food picking and medicinal plants;plant gathering;36;recreatie wildpluk;Wildplukken
Cultural, social & aesthetic values;Cultural-social;Creative activities & inspiration;inspiration;17;creatieve activiteiten;Creatieve activiteiten
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;'mindful' activiteiten;'Mindful' activiteiten
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;activiteiten met therapeu;Activiteiten met therapeutische werking
Quality of living;QoL;Mediation of noise and visual pollution;pollution;23;rust en stilte;Rust en stilte
Quality of living;QoL;Quality of living/working environment;quality of living;24;aangename omgeving;Aangename woon- en/of werkomgeving
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;gezondheid;Bijdrage aan gezondheid
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;welzijn;Bijdrage aan welzijn
Cultural, social & aesthetic values;Cultural-social;Space for social cohesion;social cohesion;18;sociale cohesie;Bijdrage aan sociale relaties en sociale cohesie
Bio-production;Bio-production;Regional products;regio produce;7;verkoop lokaal;Mogelijkheid tot verkoop van lokale landbouwproducten
Bio-production;Bio-production;Renewable energy;green energy;6;bioenergie prd;Productie van bio-energie
Recreation & Tourism;Rec & Tourism;Tourism;tourism;29;economie toerisme;Recreatie en toerisme E
Quality of living;QoL;Quality of living/working environment;quality of living;24;zorgcentra;Zorgcentra
Bio-production;Bio-production;Bio-production;bio-production;4;landbouw;Landbouwactiviteiten
Bio-production;Bio-production;Bio-production;bio-production;4;hout prd;houtproductie

